NO,기업명,기업코드 첨부내용,ESG등급,환경,사회,지배구조,평가년도,비고 (조정시기)
963,AJ네트웍스,95570,B,D,B,B,2020,2021. 1분기
962,AK홀딩스,6840,B+,C,B+,B+,2020,2021. 1분기
961,BGF,27410,B+,B,A,B+,2020,2021. 1분기
960,BGF리테일,282330,A,B+,B+,A,2020,2021. 1분기
959,BNK금융지주,138930,A+,B+,A+,A+,2020,2021. 1분기
958,BNK캐피탈,801190,,,,B+,2020,2021. 1분기(금융회사)
957,BYC,1460,B,D,B,B+,2020,2021. 1분기
956,CJ,1040,A,B,A,A,2020,2021. 1분기
955,CJ CGV,79160,A,B,A,A,2020,2021. 1분기
954,CJ ENM,35760,B+,C,A,A,2020,2021. 1분기
953,CJ대한통운,120,A,A,B,A,2020,2021. 1분기
952,CJ씨푸드,11150,B,C,B+,B+,2020,2021. 1분기
951,CJ제일제당,97950,A,A,A+,A,2020,2021. 1분기
950,CJ프레시웨이,51500,A,B,A+,A,2020,2021. 1분기
949,CMG제약,58820,C,D,B,C,2020,2021. 1분기
948,CS홀딩스,590,C,D,C,B,2020,2021. 1분기
947,DB,12030,B,D,B,B,2020,2021. 1분기
946,DB금융투자,16610,B,D,A,B,2020,2021. 1분기
945,DB생명보험,818158,,,,B+,2020,2021. 1분기(금융회사)
944,DB손해보험,5830,B+,A,A,B+,2020,2021. 1분기
943,DB하이텍,990,B+,B+,A,B+,2020,2021. 1분기
942,DGB금융지주,139130,A+,A,A+,A+,2020,2021. 1분기
941,DGB생명보험,813363,,,,A,2020,2021. 1분기(금융회사)
940,DRB동일,4840,B,B,B+,B,2020,2021. 1분기
939,DSR,155660,C,B,B,C,2020,2021. 1분기
938,DSR제강,69730,C,C,B,C,2020,2021. 1분기
937,E1,17940,B,C,A,B+,2020,2021. 1분기
936,F&F,7700,D,D,C,C,2020,2021. 1분기
935,GKL,114090,B+,C,A,A,2020,2021. 1분기
934,GS,78930,B+,C,A,A,2020,2021. 1분기
933,GS건설,6360,A,A,B+,A,2020,2021. 1분기
932,GS글로벌,1250,B,D,B+,B+,2020,2021. 1분기
931,GS리테일,7070,B,C,B+,B+,2020,2021. 1분기
930,GS홈쇼핑,28150,A,B+,A,A,2020,2021. 1분기
929,HDC,12630,B+,C,B+,B+,2020,2021. 1분기
928,HDC아이콘트롤스,39570,C,D,C,B,2020,2021. 1분기
927,HDC현대EP,89470,B,B,B+,B,2020,2021. 1분기
926,HDC현대산업개발,294870,B,C,B,B+,2020,2021. 1분기
925,HMM,11200,A,A,A+,A,2020,2021. 1분기
924,HSD엔진,82740,A,B+,A,A,2020,2021. 1분기
923,JB금융지주,175330,A+,A,A,A+,2020,2021. 1분기
922,JW생명과학,234080,B+,B+,B+,B+,2020,2021. 1분기
921,JW중외제약,1060,B,B,B+,B,2020,2021. 1분기
920,JW홀딩스,96760,B+,C,B+,B+,2020,2021. 1분기
919,JYP Ent.,35900,B,D,B,B,2020,2021. 1분기
918,KB금융,105560,A+,A+,A+,A+,2020,2021. 1분기
917,KB손해보험,2550,,,,A,2020,2021. 1분기(금융회사)
916,KB캐피탈,21960,,,,A,2020,2021. 1분기(금융회사)
915,KCC건설,21320,C,C,B,C,2020,2021. 1분기
914,KC그린홀딩스,9440,B,B,B+,B,2020,2021. 1분기
913,KC코트렐,119650,B,B,B,B,2020,2021. 1분기
912,KEC,92220,B,B+,B+,C,2020,2021. 1분기
911,KG이니시스,35600,C,D,B,D,2020,2021. 1분기
910,KG케미칼,1390,D,C,C,D,2020,2021. 1분기
909,KISCO홀딩스,1940,C,B,B,C,2020,2021. 1분기
908,KPX케미칼,25000,B,B,C,B,2020,2021. 1분기
907,KPX홀딩스,92230,C,C,C,B,2020,2021. 1분기
906,KR모터스,40,C,D,C,B,2020,2021. 1분기
905,KSS해운,44450,B+,B,B+,B+,2020,2021. 1분기
904,KTB투자증권,30210,C,D,B,C,2020,2021. 1분기
903,KTH,36030,B+,C,B+,B+,2020,2021. 1분기
902,KTcs,58850,B,D,B+,B+,2020,2021. 1분기
901,KTis,58860,B,D,B+,B+,2020,2021. 1분기
900,KT서브마린,60370,B,D,B+,B+,2020,2021. 1분기
899,LF,93050,B,D,B,B+,2020,2021. 1분기
898,LG,3550,A,B+,A+,B+,2020,2021. 1분기
897,LG디스플레이,34220,A,B+,A+,B+,2020,2021. 1분기
